,pert_iname,pubchem_cid_list,canonical_smiles_list
185,BI-2536,['11364421'],['CC[C@H]1N(C2CCCC2)c2nc(Nc3ccc(cc3OC)C(=O)NC3CCN(C)CC3)ncc2N(C)C1=O']
186,BI-78D3,['2747117'],['Oc1nnc(Sc2ncc(s2)[N+]([O-])=O)n1-c1ccc2OCCOc2c1']
187,BIBR-1532,['9927531'],['C\\C(=C/C(=O)Nc1ccccc1C(O)=O)c1ccc2ccccc2c1']
188,BIBU-1361,['17756796'],['CCN(CC)CC1CCN(CC1)c1ncc2ncnc(Nc3ccc(F)c(Cl)c3)c2n1']
189,BIBX-1382,['6918508'],['CN1CCC(CC1)Nc1ncc2ncnc(Nc3ccc(F)c(Cl)c3)c2n1']
190,BIIB-021,['16736529'],['COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc23)c1C']
191,BIX-01294,['25150857'],['COc1cc2nc(nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC)N1CCCN(C)CC1']
192,BIX-01338,['56676725'],['COc1ccc(cc1)C(=O)Oc1ccc(CCn2c(NC(=O)c3ccc(cc3)C(F)(F)F)nc3cc(ccc23)C(O)=O)cc1']
193,BIX-02188,['50904168'],['Clc1ccc(Cl)c(SCC(=O)N\\N=C\\c2ccc[nH]2)c1']
194,BIX-02189,['46931012'],['CN(C)Cc1cccc(N\\C(c2ccccc2)=C2/C(=O)Nc3cc(ccc23)C(=O)N(C)C)c1']
195,BJM-AF-64,['49835877'],['COC(=O)Cn1nc(-c2cccc(OC)c2)c2ccccc12']
196,BJM-CSC-15,['24816775'],['CC(C)(C)c1ccc2OCC(Oc2c1)C(=O)N\\N=C\\c1ccc[nH]1']
197,BJM-HSC2-10,['2208391'],['CCn1cc(NC(=S)Nc2cc(Cl)ccc2OC)c(n1)C(=O)N']
198,BL-050,['151819'],['OC(=O)CCc1cc(I)c(O)c(I)c1']
199,BL-077,['23902994'],['CC(=O)C1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C']
200,BML-190,['2415'],['COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)N3CCOCC3)c2c1']
201,BML-210,['9543540'],['Nc1ccccc1NC(=O)CCCCCCC(=O)Nc2ccccc2']
202,BML-257,['629852'],['OC(=O)c1ccc2nc(c3ccccc3)c(nc2c1)c4ccccc4']
203,BML-259,['16760027'],['CC(C)c1cnc(NC(=O)Cc2ccccc2)s1']
204,BML-266,['2817242'],['Oc1ccc(CCNc2ccc(NCCc3ccc(O)cc3)c3C(=O)c4ccccc4C(=O)c23)cc1']
205,BML-278,['10620479'],['CCOC(=O)C1=CN(Cc2ccccc2)C=C(C1c1ccccc1)C(=O)OCC']
206,BML-284,['11210285'],['COc1cccc(c1)c2cc(NCc3ccc4OCOc4c3)nc(N)n2']
207,BML-286,['5221450'],['OC(=O)c1ccccc1NC(=O)c1cccc(NC(=O)Cc2ccccc2)c1']
208,BMS-182874,['122272'],['CN(C)c1cccc2c(cccc12)S(=O)(=O)Nc1onc(C)c1C']
209,BMS-191011,['10474339'],['Oc1ccc(Cl)cc1Cn1nc(oc1=O)-c1ccc(cc1)C(F)(F)F']
210,BMS-299897,['11249248'],['C[C@@H](N(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1)c1ccc(F)cc1CCCC(O)=O']
211,BMS-345541,['9813758'],['Cc1cnc2c(NCCN)nc3ccc(C)cc3n12']
212,BMS-387032,['3025986'],['CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1']
213,BMS-509744,['23646672'],['OC(=O)COc1c(Br)c(sc1C(O)=O)-c1ccc(NC(=O)c2cccnc2)cc1']
214,BMS-536924,['11353973'],['Cc1cc(cc2[nH]c(nc12)-c1c(NC[C@@H](O)c2cccc(Cl)c2)cc[nH]c1=O)N1CCOCC1']
215,BMS-641988,['24768935'],['CCS(=O)(=O)N[C@@H]1C[C@@]2(C)O[C@]1(C)[C@H]1[C@@H]2C(=O)N(C1=O)c1ccc(C#N)c(c1)C(F)(F)F']
216,BMS-754807,['24785538'],['C[C@]1(CCCN1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1)C(=O)Nc1ccc(F)nc1']
217,BMS-777607,['24794418'],['CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1']
218,BMY-14802,['108046'],['OC(CCCN1CCN(CC1)c1ncc(F)cn1)c1ccc(F)cc1']
219,BMY-45778,['127861'],['OC(=O)COc1cccc(c1)-c1ocnc1-c1nc(c(o1)-c1ccccc1)-c1ccccc1']
220,BMY-7378,['2419'],['COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1']
221,BNTX,"['44369694', '5149021', '5310988', '6438353']",['Oc1ccc2CC3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)C(=O)\\C(C[C@@]35O)=C\\c1ccccc1']
222,BO2-inhibits-RAD51,['5738263'],['O=c1n(Cc2ccccc2)c(/C=C/c3cccnc3)nc4ccccc14']
